A sua empresa oferece beneficios referentes a saude mental como parte dos beneficios de saude?,"A sua empresa ja debateu saude mental formalmente (por exemplo, via um programa de concientizacao corporativo)?",A sua empresa oferece recursos para aprender mais sobre saude mental e alternativas para buscar ajuda?,A sua privacidade eh protegida se voce optar por um tratamento de saude mental oferecido pela sua empresa?,"Caso voce sinta a necessidade de solicitar uma licenca do trabalho devido a saude mental, quao facil ou dificil seria fazer essa solicitacao?",Voce se sentiria confortavel discutindo uma questao de saude mental com o seu chefe direto?,Voce se sentiria confortavel discutindo uma questao de saude mental com os seus pares?,O quao propenso voce estaria em dividir com amigos e familiares que voce possui uma doenca mental?,"Se voce revelou uma doenca mental para um cliente ou contato de negocio, como isso afetou voce e/ou o relacionamento?","Se voce revelou uma doenca mental para um para par ou funcionario, como isso afetou voce e/ou o relacionamento?",Idade,Genero,Qual pais voce reside?,Qual pais voce trabalha?,Voce ja foi diagnosticado com uma doenca mental?,Voce ja procurou tratamento profissional para uma doenca mental?
Sim,Nao,Nao,Eu nao sei,Eu nao sei,Sim,Sim,10,,,29.0,f,Canada,Canada,Sim,Sim
Sim,Nao,Nao,Eu nao sei,Nem facil nem dificil,Sim,Sim,5,,,28.0,feminino,United States,United States,Sim,Sim
,,,,,,,10,Positivamente,Positivamente,41.0,Masculino,Australia,Australia,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Eu nao sei,Talvez,Sim,8,,,38.0,Masculino,United States,United States,Sim,Sim
,,,,,,,8,Positivamente,Positivamente,37.0,"Masculino (or feminino, ou ambos)",Netherlands,Netherlands,,Sim
Sim,Sim,Sim,Sim,Facil,Nao,Talvez,7,,,42.0,Masculino,United States,United States,,Sim
Sim,Sim,Nao,Eu nao sei,Facil,Talvez,Talvez,3,,,28.0,Feminino,United States,United States,Sim,Nao
Sim,Sim,Sim,Sim,Eu nao sei,Sim,Sim,9,,,30.0,masculino,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Muito Facil,Sim,Sim,9,,,25.0,Feminino,United Kingdom,United Kingdom,Sim,Sim
,,,,,,,8,,Positivamente,54.0,Masculino,United Kingdom,United Kingdom,,Nao
,,,,,,,6,,Nao aplicavel,24.0,masculino,United Kingdom,United Kingdom,,Nao
,,,,,,,6,,Nao aplicavel,32.0,masculino,United Kingdom,United Kingdom,,Sim
Sim,Nao,Sim,Eu nao sei,Dificil,Nao,Sim,10,,,44.0,Masculino,United States,United States,,Sim
Sim,Nao,Nao,Eu nao sei,Eu nao sei,Sim,Nao,1,,,28.0,Transgênero,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Muito Facil,Talvez,Sim,7,,,41.0,Feminino,United States,United States,,Sim
Sim,Nao,Sim,Eu nao sei,Facil,Talvez,Talvez,7,,,38.0,masculino,United States,United States,,Nao
Sim,Nao,Eu nao sei,Eu nao sei,Eu nao sei,Talvez,Talvez,8,,,37.0,cisgênero masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Nem facil nem dificil,Talvez,Talvez,5,,,33.0,m,United States,United States,,Nao
Sim,Sim,Sim,Sim,Facil,Talvez,Sim,9,,,35.0,Feminino,United States,United States,Sim,Sim
Sim,Nao,Nao,Sim,Facil,Talvez,Talvez,6,,,43.0,Masculino,United States,United States,Sim,Sim
Nao elegivel - NA,Sim,Sim,Sim,Muito Facil,Sim,Sim,9,,,34.0,M,United States,United States,,Sim
Nao,Sim,Sim,Sim,Facil,Sim,Talvez,8,,,44.0,Feminino,United States,United States,,Sim
Sim,Nao,Sim,Sim,Facil,Sim,Talvez,9,,,38.0,Masculino,United States,United States,Sim,Sim
Nao,Nao,Nao,Sim,Facil,Talvez,Talvez,4,,,55.0,m,United States,United States,,Nao
Nao elegivel - NA,Nao,Eu nao sei,Eu nao sei,Muito Facil,Nao,Nao,0,,,25.0,M,India,India,,Nao
Sim,Nao,Eu nao sei,Eu nao sei,Dificil,Nao,Nao,1,,,37.0,Masculino,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Muito Facil,Talvez,Sim,9,,,39.0,Masculino,United States,United States,,Nao
Sim,Eu nao sei,Sim,Eu nao sei,Nem facil nem dificil,Talvez,Talvez,3,,,23.0,masculino,United States,United States,,Nao
,,,,,,,4,,Nao aplicavel,34.0,f,United States,United States,,Nao
Sim,Nao,Nao,Eu nao sei,Um pouco dificil,Talvez,Talvez,10,,,43.0,M,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Sim,Nem facil nem dificil,Sim,Talvez,9,,,29.0,Masculino,United States,United States,Sim,Sim
Nao,Nao,Nao,Eu nao sei,Facil,Sim,Sim,7,,,25.0,Masculino,United States,United States,,Nao
Sim,Nao,Nao,Sim,Muito Facil,Talvez,Nao,0,,,36.0,Masculino ,United States,United States,,Nao
Sim,Nao,Nao,Sim,Muito Facil,Sim,Sim,6,,,33.0,Masculino,United States,United States,,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Facil,Sim,Sim,8,,,34.0,masculino,United States,United States,,Nao
Sim,Sim,Sim,Sim,Facil,Talvez,Talvez,7,,,28.0,m,United States,United States,,Nao
Sim,Sim,Sim,Eu nao sei,Facil,Sim,Talvez,9,,,54.0,Transgênero,United States,United States,,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Eu nao sei,Sim,Talvez,7,,,39.0,masculino,United States,United States,,Nao
Sim,Nao,Sim,Sim,Um pouco dificil,Nao,Talvez,4,,,37.0,cisgênero masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Facil,Nao,Nao,6,,,29.0,m,United States,United States,,Nao
Eu nao sei,Nao,Sim,Eu nao sei,Muito Facil,Sim,Talvez,7,,,31.0,Masculino,United States,United States,,Nao
Sim,Sim,Eu nao sei,Sim,Muito Facil,Sim,Sim,10,,,49.0,Masculino,United States,United States,Sim,Sim
Sim,Eu nao sei,Eu nao sei,Sim,Muito Facil,Talvez,Nao,7,,,43.0,Masculino,United States,United States,,Sim
Sim,Sim,Sim,Sim,Facil,Sim,Sim,10,,,38.0,não binário,United States,United States,Sim,Sim
Sim,Eu nao sei,Eu nao sei,Eu nao sei,Facil,Talvez,Talvez,7,,,35.0,feminino,United States,United States,,Sim
Sim,Nao,Sim,Eu nao sei,Facil,Talvez,Talvez,3,,,23.0,Masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Sim,Muito Facil,Sim,Sim,10,,,42.0,Masculino,United Kingdom,United Kingdom,,Sim
Sim,Sim,Sim,Sim,Facil,Sim,Talvez,8,,,36.0,masculino,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Facil,Sim,Nao,4,,,38.0,Masculino,United States,United States,Nao,Sim
Eu nao sei,Nao,Sim,Eu nao sei,Eu nao sei,Talvez,Talvez,5,,,41.0,Masculino,United Kingdom,United Kingdom,,Sim
Sim,Eu nao sei,Eu nao sei,Sim,Nem facil nem dificil,Sim,Talvez,7,,,37.0,f,United States,United States,Sim,Sim
Eu nao sei,Sim,Sim,Sim,Facil,Sim,Talvez,10,,,25.0,masculino,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Facil,Sim,Sim,9,,,33.0,Masculino,United States,United States,,Nao
Eu nao sei,Sim,Eu nao sei,Eu nao sei,Facil,Sim,Sim,7,,,35.0,feminino,United States,United States,,Sim
Sim,Sim,Sim,Eu nao sei,Nem facil nem dificil,Nao,Talvez,10,,,32.0,Feminino,United States,United States,Sim,Sim
,,,,,,,4,,Nao tenho certeza,45.0,,United States,United States,,Nao
Sim,Sim,Sim,Eu nao sei,Nem facil nem dificil,Sim,Talvez,5,,,40.0,cisgênero feminino,United States,United States,Sim,Sim
Sim,Eu nao sei,Eu nao sei,Eu nao sei,Facil,Talvez,Sim,8,,,34.0,Masculino,United States,United States,,Sim
Sim,Sim,Sim,Sim,Facil,Sim,Nao,4,,,28.0,Masculino,United States,United States,,Nao
Sim,Nao,Eu nao sei,Eu nao sei,Um pouco dificil,Nao,Nao,2,,,49.0,M,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Muito Facil,Sim,Sim,8,,,33.0,feminino,United States,United States,Sim,Sim
,,,,,,,9,Nao tenho certeza,Nao tenho certeza,41.0,cisgênero masculino,United States,United States,Sim,Sim
Sim,Nao,Nao,Sim,Muito Facil,Nao,Talvez,5,,,36.0,m,United States,United States,,Sim
Nao,Nao,Sim,Nao,Dificil,Talvez,Talvez,10,,,37.0,Masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Dificil,Talvez,Talvez,7,,,39.0,Masculino,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Um pouco dificil,Nao,Talvez,5,,,49.0,cisgênero feminino,United States,United States,,Sim
Eu nao sei,Sim,Sim,Eu nao sei,Eu nao sei,Sim,Talvez,8,,,33.0,Masculino,United States,United States,,Nao
Nao elegivel - NA,Nao,Nao,Eu nao sei,Facil,Talvez,Talvez,6,,,29.0,,United Kingdom,United Kingdom,,Sim
,,,,,,,8,Nao tenho certeza,Nao aplicavel,34.0,M,United States,United States,,Nao
Eu nao sei,Sim,Eu nao sei,Eu nao sei,Muito Facil,Sim,Sim,5,,,29.0,Masculino,United Kingdom,United Kingdom,,Sim
Sim,Nao,Nao,Eu nao sei,Eu nao sei,Talvez,Talvez,4,,,25.0,Masculino,United States,United States,,Nao
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Dificil,Nao,Nao,8,,,35.0,Masculino,United States,United States,Sim,Sim
,,,,,,,8,,Nao aplicavel,32.0,Masculino,United States,United States,,Nao
Sim,Nao,Sim,Eu nao sei,Eu nao sei,Sim,Sim,10,,,21.0,Masculino,United States,United States,Sim,Sim
Sim,Nao,Nao,Sim,Muito Facil,Sim,Sim,10,,,43.0,M,United States,United States,,Sim
Sim,Sim,Sim,Eu nao sei,Facil,Sim,Sim,8,,,31.0,Feminino,United States,United States,Sim,Sim
Eu nao sei,Sim,Sim,Eu nao sei,Eu nao sei,Talvez,Talvez,8,,,27.0,cisgênero feminino,United States,United States,Sim,Sim
Sim,Nao,Nao,Sim,Facil,Nao,Nao,0,,,23.0,Homem,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Muito Facil,Nao,Nao,5,,,28.0,masculino,United States,United States,,Sim
Sim,Sim,Sim,Eu nao sei,Um pouco dificil,Nao,Nao,7,,,37.0,Feminino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Facil,Talvez,Sim,6,,,30.0,masculino,United States,United States,,Nao
Sim,Nao,Sim,Eu nao sei,Eu nao sei,Nao,Nao,4,,,30.0,M,United States,United States,,Nao
Sim,Nao,Nao,Eu nao sei,Um pouco dificil,Talvez,Talvez,10,,,30.0,cisgênero feminino,United States,United States,Sim,Sim
,,,,,,,4,Nao tenho certeza,Nao tenho certeza,32.0,F,United States,United States,,Sim
Nao,Nao,Eu nao sei,Eu nao sei,Dificil,Nao,Nao,8,,,35.0,M,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Muito Facil,Sim,Talvez,8,,,45.0,Feminino,United States,United States,Sim,Sim
Nao,Nao,Nao,Eu nao sei,Dificil,Nao,Talvez,8,,,31.0,feminino,Germany,Germany,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Facil,Talvez,Sim,5,,,34.0,Feminino,United States,United States,Sim,Sim
Nao,Nao,Nao,Eu nao sei,Dificil,Nao,Nao,7,,,30.0,Masculino,United States,United States,,Sim
Sim,Nao,Nao,Eu nao sei,Facil,Nao,Talvez,8,,,33.0,Transgênero,United States,United States,Sim,Sim
Eu nao sei,Nao,Sim,Eu nao sei,Eu nao sei,Nao,Nao,6,,,28.0,feminino,United States,United States,,Nao
Nao,Nao,Nao,Eu nao sei,Facil,Nao,Sim,10,,,28.0,Masculino,United States,United States,,Sim
Sim,Nao,Eu nao sei,Sim,Nem facil nem dificil,Nao,Sim,9,,,33.0,Masculino,United States,United States,Sim,Sim
Sim,Sim,Nao,Sim,Muito Facil,Nao,Sim,6,,,28.0,Feminino,United States,United States,,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Eu nao sei,Talvez,Talvez,9,,,28.0,Feminino,United States,United States,Nao,Sim
Eu nao sei,Nao,Eu nao sei,Nao,Facil,Sim,Talvez,6,,,43.0,Masculino,United States,United States,,Nao
Eu nao sei,Eu nao sei,Eu nao sei,Eu nao sei,Nem facil nem dificil,Sim,Talvez,6,,,31.0,Feminino,United States,United States,,Nao
Sim,Eu nao sei,Eu nao sei,Eu nao sei,Facil,Sim,Talvez,8,,,40.0,feminino,United States,United States,,Nao
Sim,Nao,Eu nao sei,Eu nao sei,Facil,Talvez,Talvez,6,,,42.0,Feminino,United States,United States,,Sim
Sim,Eu nao sei,Eu nao sei,Eu nao sei,Um pouco dificil,Talvez,Talvez,9,,,38.0,Masculino,United States,United States,,Sim
Eu nao sei,Nao,Nao,Sim,Muito Facil,Sim,Sim,9,,,39.0,Masculino,United States,United States,,Nao
Nao elegivel - NA,Nao,Eu nao sei,Eu nao sei,Um pouco dificil,Talvez,Talvez,3,,,21.0,Masculino,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Facil,Talvez,Sim,10,,,32.0,mulher,United States,United States,,Sim
Nao elegivel - NA,Nao,Nao,Eu nao sei,Eu nao sei,Talvez,Sim,9,,,32.0,Masculino,United States,United States,,Sim
Sim,Sim,Sim,Eu nao sei,Muito Facil,Sim,Sim,9,,,40.0,Masculino ,United States,United States,Sim,Sim
,,,,,,,10,Sem mudanca,Sem mudanca,35.0,Masculino,United States,United States,Sim,Sim
Sim,Nao,Nao,Sim,Eu nao sei,Nao,Talvez,7,,,28.0,Masculino,United States,United States,,Sim
Sim,Sim,Sim,Sim,Nem facil nem dificil,Sim,Sim,9,,,25.0,Feminino,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Muito Facil,Nao,Nao,5,,,37.0,masculino,United States,United States,,Nao
Sim,Sim,Sim,Sim,Muito Facil,Sim,Sim,8,,,40.0,outros,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Nem facil nem dificil,Talvez,Talvez,5,,,31.0,Feminino,United States,United States,Sim,Sim
Sim,Nao,Nao,Eu nao sei,Facil,Nao,Talvez,10,,,26.0,queer,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Um pouco dificil,Sim,Nao,8,,,27.0,Feminino,United States,United States,Sim,Sim
Sim,Eu nao sei,Nao,Eu nao sei,Eu nao sei,Talvez,Talvez,10,,,22.0,Mulher,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Eu nao sei,Nao,Sim,10,,,27.0,Masculino,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Eu nao sei,Talvez,Talvez,10,,,28.0,Feminino,United States,United States,,Nao
Sim,Sim,Nao,Sim,Facil,Nao,Talvez,2,,,32.0,feminino,United States,United States,Sim,Sim
Sim,Nao,Eu nao sei,Eu nao sei,Facil,Talvez,Sim,7,,,33.0,Masculino,United States,United States,,Nao
Sim,Sim,Sim,Sim,Facil,Talvez,Talvez,7,,,27.0,Feminino,United States,United States,Sim,Sim
Sim,Eu nao sei,Eu nao sei,Sim,Facil,Sim,Talvez,10,,,38.0,feminino,United States,United States,Sim,Sim
,,,,,,,7,,Nao aplicavel,31.0,Masculino,United States,United States,Sim,Sim
Sim,Nao,Nao,Sim,Muito Facil,Sim,Sim,4,,,28.0,Feminino,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Nem facil nem dificil,Talvez,Talvez,3,,,32.0,Feminino,United States,United States,,Nao
Nao,Nao,Nao,Sim,Muito Facil,Sim,Nao,5,,,30.0,Feminino,United States,United States,,Nao
Sim,Nao,Nao,Eu nao sei,Eu nao sei,Nao,Talvez,10,,,26.0,Feminino,United States,United States,Sim,Sim
Eu nao sei,Sim,Sim,Eu nao sei,Eu nao sei,Nao,Nao,7,,,41.0,Feminino,United States,United States,,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Facil,Talvez,Talvez,5,,,39.0,Feminino,United States,United States,,Nao
Sim,Nao,Eu nao sei,Eu nao sei,Eu nao sei,Talvez,Sim,8,,,37.0,outros,United States,United States,,Nao
Nao elegivel - NA,Eu nao sei,Sim,Sim,Eu nao sei,Nao,Nao,8,,,21.0,Feminino,United States,United States,,Nao
,,,,,,,6,,Nao aplicavel,38.0,Masculino,United States,United States,,Nao
Sim,Nao,Nao,Eu nao sei,Facil,Nao,Sim,9,,,35.0,Feminino ,United States,United States,,Nao
Sim,Nao,Eu nao sei,Sim,Facil,Nao,Nao,6,,,38.0,Masculino ,Netherlands,Netherlands,,Nao
Nao,Nao,Nao,Eu nao sei,Nem facil nem dificil,Talvez,Talvez,9,,,29.0,feminino,United States,United States,Sim,Sim
Sim,Sim,Sim,Sim,Facil,Talvez,Sim,6,,,25.0,Feminino,United States,United States,Sim,Sim
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Facil,Nao,Talvez,6,,,41.0,feminino,United States,United States,,Sim
Sim,Nao,Nao,Eu nao sei,Muito Facil,Sim,Sim,10,,,37.0,Feminino,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Facil,Talvez,Talvez,7,,,29.0,Masculino,United States,United States,Sim,Sim
Sim,Eu nao sei,Eu nao sei,Eu nao sei,Muito Facil,Sim,Sim,7,,,45.0,F,United States,United States,,Nao
Eu nao sei,Nao,Nao,Sim,Muito Facil,Nao,Nao,5,,,45.0,nenhum,Germany,Germany,,Nao
Sim,Nao,Sim,Sim,Facil,Sim,Sim,7,,,45.0,Feminino,United States,United States,,Sim
Sim,Sim,Sim,Sim,Facil,Sim,Sim,10,,,30.0,Transgênero,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Muito Facil,Sim,Sim,10,,,27.0,masculino,United States,United States,,Nao
Eu nao sei,Nao,Eu nao sei,Eu nao sei,Dificil,Sim,Talvez,0,,,36.0,cisgênero masculino,United States,United States,,Nao
Sim,Sim,Sim,Sim,Dificil,Nao,Talvez,10,,,44.0,F,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Eu nao sei,Talvez,Sim,9,,,35.0,Feminino,United States,United States,Sim,Sim
Eu nao sei,Nao,Nao,Eu nao sei,Eu nao sei,Talvez,Nao,8,,,42.0,não-binário,United States,United States,,Nao
Sim,Sim,Sim,Eu nao sei,Um pouco dificil,Nao,Nao,8,,,26.0,Masculino,United States,United States,Sim,Sim
,,,,,,,6,Positivamente,Positivamente,33.0,Feminino,United States,United States,,Sim
Sim,Nao,Nao,Eu nao sei,Muito Facil,Sim,Sim,7,,,25.0,queer,United States,United States,,Sim
Sim,Nao,Nao,Eu nao sei,Eu nao sei,Talvez,Talvez,10,,,36.0,F,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Nem facil nem dificil,Sim,Nao,5,,,32.0,feminino,United States,United States,Sim,Sim
Sim,Sim,Sim,Eu nao sei,Um pouco dificil,Talvez,Talvez,8,,,29.0,Feminino,United States,United States,Sim,Sim
Eu nao sei,Sim,Sim,Sim,Muito Facil,Talvez,Talvez,1,,,29.0,f,United States,United States,,Nao
Sim,Eu nao sei,Eu nao sei,Sim,Muito Facil,Sim,Talvez,7,,,43.0,Masculino,United States,United States,,Nao
Nao,Sim,Eu nao sei,Eu nao sei,Facil,Sim,Sim,7,,,26.0,Masculino,United Kingdom,United Kingdom,,Nao
Sim,Nao,Nao,Eu nao sei,Um pouco dificil,Talvez,Talvez,9,,,46.0,Masculino,United States,United States,Sim,Sim
,,,,,,,8,,Nao aplicavel,35.0,Feminino,United States,United States,Sim,Sim
,,,,,,,2,,Nao aplicavel,37.0,Masculino,United States,United States,,Sim
Sim,Sim,Sim,Sim,Facil,Sim,Sim,8,,,30.0,Feminino,United States,United States,Sim,Sim
